name,review-count,cuisines,cost for 2,timings,rating
Bakers Mart,7 reviews,"Bakery, Desserts",₹450,12 Noon to 11 PM,3.1
Jo's Peace of Cake,1 Review,"Bakery, Desserts",₹650,"12 Noon to 4 PM, 7 PM to 11 PM",3.0
Olive by Abhinandan,8 reviews,"North Indian, Chinese, Italian",₹150,11 AM to 11 PM,3.1
Ananta,1 Review,South Indian,₹600,10 AM to 11 PM,2.8
Sri Kanha Restaurant,8 reviews,"North Indian, Chinese, Fast Food",₹400,11 AM to 11 PM,2.8
Nirvana,4 reviews,"Chinese, North Indian",₹350,24 Hours,2.9
Shyam Chaat Bhandar,16 reviews,Street Food,₹150,10 AM to 9 PM,3.0
Organic German Bakeshop - Brown Bread Bakery,9 reviews,"Fast Food, Continental, Italian, Bakery",₹800,8 AM to 10 PM,3.2
Shri Hari Sharnam,9 reviews,North Indian,"₹1,600",11 AM to 11 PM,2.7
Flirty Momos,5 reviews,Chinese,₹750,"8 PM to 4 AM (Mon-Sat), Sun Closed",2.7
Bunny Pastry Shop,10 reviews,"Bakery, Desserts",₹500,"12 Noon to 3:30 PM, 6:30 PM to 11 PM",3.2
Noodle Bowl,7 reviews,"Chinese, Thai, Japanese, Tibetan","₹2,000",8 AM to 9 PM,3.3
Kaffa - The Hans,9 reviews,"American, North Indian, Continental",₹200,6 PM to 11 PM,2.9
Shanghai The Chinese Kitchen,8 reviews,Chinese,₹550,12 Noon to 10:30 PM,3.0
Food Paradise,11 reviews,"North Indian, Chinese",₹900,11 AM to 11 PM,2.8
Lounge & Bar - Eros Hotel,11 reviews,Finger Food,₹400,8 AM to 10 PM,3.5
Sardar Ji's Kitchen,17 reviews,North Indian,₹100,"6:30 PM to 2 AM (Mon, Wed-Fri), 1 PM to 4 PM, 6:30 PM to 2 AM (Sat-Sun), Tue Closed",-
Yakooz,10 reviews,"Hyderabadi, North Indian",₹250,11 AM to 10 PM,3.2
Selfie Lounge,9 reviews,"Italian, North Indian, Continental",₹350,11 AM to 12 Midnight,3.3
Purani Delhi 6,6 reviews,"Mughlai, North Indian",₹150,"12:30 PM to 11:45 PM, 12 Midnight to 1 AM",3.1
Sourabh Ice Cream Parlour,15 reviews,Desserts,₹250,8 AM to 10 PM,3.3
Apna Dhaba,6 reviews,North Indian,₹350,10 AM to 11 PM,3.4
