name,review-count,cuisines,cost for 2,timings,rating
Amdavadi,385 reviews,Gujarati,₹600,11 AM to 11 PM,3.7
The Bayleaf,191 reviews,"Bengali, North Indian",₹800,"11 AM to 3 PM, 7 PM to 11 PM",4.0
Y Cook,163 reviews,"North Indian, South Indian, Sri Lankan",₹300,"12 Noon to 3:30 PM, 7 PM to 11 PM",4.0
Y Cook,163 reviews,"North Indian, South Indian, Sri Lankan",₹300,"12 Noon to 3:30 PM, 7 PM to 11 PM",4.0
Punjab Grill,147 reviews,North Indian,"₹2,200",12 Noon to 11 PM,3.9
ID,221 reviews,South Indian,₹600,"11 AM to 11 PM (Mon-Fri), 8 AM to 11 PM (Sat-Sun)",3.9
Nando's,211 reviews,"Portuguese, African","₹1,200",11:30 AM to 11:30 PM,3.9
Pasta Avenue,173 reviews,"Cafe, Continental, Italian","₹1,300","1 PM to 11 PM (Mon-Sat), 2 PM to 11 PM (Sun)",4.0
Mumbai Cafe,264 reviews,Street Food,₹150,"11:30 AM to 3 PM, 4:30 PM to 10 PM (Tue-Fri), 8:30 AM to 3 PM, 4:30 PM to 10 PM (Sat-Sun), Mon Closed",4.2
Madras Pavilion - ITC Grand Chola,352 reviews,"North Indian, Chinese, Continental, Desserts","₹3,700","6:30 AM to 10:30 AM, 12:30 PM to 3 PM, 7 PM to 11:45 PM",4.2
Amaravathi,117 reviews,"Andhra, North Indian, Chinese",₹800,"11 AM to 3:30 PM, 7 PM to 11 PM",3.6
Eden,165 reviews,"North Indian, Continental, Italian",₹850,"12:30 PM to 3 PM, 7 PM to 11 PM",3.9
ID,204 reviews,South Indian,₹600,"11 AM to 11 PM (Mon-Fri), 8 AM to 11 PM (Sat-Sun)",3.5
Haven Sampoorna,168 reviews,"North Indian, Chinese, Continental",₹750,"12 Noon to 3:30 PM, 7 PM to 10:30 PM",3.9
