name,review-count,cuisines,cost for 2,timings,rating
Oye Amritsar,337 reviews,North Indian,₹850,"12:30 PM to 3:30 PM, 6:30 PM to 11 PM",2.7
AB's - Absolute Barbecues,838 reviews,"European, Mediterranean, North Indian","₹1,400","12 Noon to 3:30 PM, 6:30 PM to 9:30 PM",4.6
The Local - Terrace Drinkery,501 reviews,"Continental, American","₹1,000","11 AM to 11 PM (Mon-Thu, Sun), 11 AM to 1 AM (Fri-Sat)",3.7
Dial A Chaat,281 reviews,"Fast Food, North Indian, Street Food",₹400,12 Noon to 10:30 PM,3.9
Mr. Beans - Home Cafe,688 reviews,"European, Italian","₹1,000",10 AM to 10 PM,3.9
Bangalore Brew Works,422 reviews,"Continental, Italian","₹1,700","12 Noon to 11:30 PM (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",3.9
Mango Tree,497 reviews,"North Indian, Chinese","₹1,200","12 Noon to 3 PM, 7 PM to 11 PM",3.9
Truffles,891 reviews,"American, Burger, Cafe",₹900,11 AM to 10:30 PM,4.6
Dyu Art Cafe,1012 reviews,Cafe,₹800,"12 Noon to 10 PM (Mon), 10 AM to 10 PM (Tue-Sun)",4.1
Plan B,1172 reviews,"American, Continental","₹1,350",12 Noon to 11:30 PM,4.0
Pindi Bangalore,194 reviews,North Indian,"₹1,000","11:30 AM to 11:30 PM (Mon-Thu, Sun), 11:30 AM to 1 AM (Fri-Sat)",3.8
The Fisherman's Wharf,1062 reviews,"Seafood, Goan, North Indian, Continental","₹1,800","12 Midnight to 1 AM, 12 Noon to 12 Midnight (Mon-Sun)",3.9
High Ultra Lounge,1064 reviews,"Japanese, Thai, Chinese, Korean","₹2,600","12:30 PM to 3:30 PM, 5:30 PM to 11:30 PM (Mon-Thu), 12:30 PM to 3:30 PM, 5:30 PM to 1 AM (Fri-Sat), 12:30 PM to 4:30 PM, 5:30 PM to 11:30 PM (Sun)",4.2
The Hole in the Wall Cafe,2094 reviews,"Cafe, American",₹600,"8 AM to 3 PM, 5:30 PM to 8:30 PM (Tue-Fri), 8 AM to 4 PM (Sat-Sun), Mon Closed",4.2
Oye Amritsar,395 reviews,North Indian,₹850,"12 Noon to 3:30 PM, 7 PM to 11 PM",3.4
Sultans of Spice,1007 reviews,"North Indian, Mughlai","₹1,300","12 Noon to 3:30 PM, 7 PM to 11:30 PM (Mon-Thu), 12 Noon to 3:30 PM, 7 PM to 12 Midnight (Fri), 12 Noon to 4:30 PM, 7 PM to 12 Midnight (Sat), 11:30 AM to 4:30 PM, 7 PM to 11:30 PM (Sun)",4.0
Deja Vu Resto Bar,518 reviews,"North Indian, Italian",₹900,12 Noon to 11 PM (Mon-Sun),3.8
Glen's Bakehouse,1672 reviews,"Bakery, Desserts, Cafe",₹800,"11 AM to 12 Midnight (Mon-Thu), 11 AM to 1 AM (Fri), 9 AM to 1 AM (Sat), 9 AM to 12 Midnight (Sun)",4.0
Tipsy Bull - The Bar Exchange,347 reviews,"North Indian, Chinese, Continental, Mexican","₹1,000","12 Noon to 11:30 PM (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",4.3
Stoner,820 reviews,"Desserts, Ice Cream, Fast Food",₹550,11:30 AM to 1 AM,4.4
Cafe 132,283 reviews,"Continental, Cafe, Chinese, North Indian","₹1,300",7 AM to 11 PM,3.6
Upsouth,273 reviews,South Indian,₹250,8 AM to 11 PM,3.8
Dice N Dine,461 reviews,"European, Cafe",₹800,"11 AM to 11:30 PM (Mon-Thu, Sun), 11 AM to 12 Midnight (Fri-Sat)",3.8
Fava,297 reviews,Mediterranean,"₹1,900",11 AM to 11:30 PM,4.0
Bamey's Restro Cafe,167 reviews,"Chinese, Singaporean, Thai, Asian",₹600,"11:30 AM to 10:30 PM (Mon, Wed-Sun), Tue Closed",3.8
Gramin,951 reviews,North Indian,₹400,"12 Noon to 3:30 PM, 7 PM to 11 PM",3.9
Stoner,473 reviews,"Ice Cream, Pizza, Burger",₹600,11:30 AM to 1 AM,4.1
Vapour Pub & Brewery,1681 reviews,"North Indian, Continental, Chinese","₹1,500",Mon-Sun (12 Noon to 1 AM),3.9
Nandhana Palace,204 reviews,"Andhra, Biryani, North Indian, Chinese",₹850,12 Noon to 11 PM,3.4
Portland Steakhouse & Cafe,641 reviews,"Steakhouse, Italian, Continental, American, Burger","₹1,500","12 Noon to 10:45 PM (Mon-Sat), 12 Noon to 4 PM, 6:30 PM to 10:45 PM (Sun)",4.1
Shiro,568 reviews,"Japanese, Asian","₹3,000","12:30 PM to 11:30 PM (Mon-Tue), 12:30 PM to 12 Midnight (Wed-Thu, Sun), 12:30 PM to 1 AM (Fri-Sat)",4.2
Ji Hazoor,739 reviews,"Mughlai, North Indian, Afghani","₹1,000","12 Noon to 3:30 PM, 7 PM to 11 PM",3.4
Gilly's Restobar,757 reviews,"Continental, Finger Food, North Indian, Chinese","₹1,200","12 Noon to 11:30 PM (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",3.9
Taco Bell,237 reviews,"Mexican, American, Fast Food",₹600,11 AM to 11 PM,3.6
Kargeens,224 reviews,"Cafe, Continental, Italian",₹600,10 AM to 1 AM,3.9
Taco Bell,311 reviews,"Mexican, American, Fast Food",₹600,11 AM to 11 PM,3.7
